Day,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
1,9:19,10:08,11:17,12:41,13:58,14:54,15:02,14:19,13:05,11:46,10:26,9:29
2,9:20,10:10,11:20,12:44,14:00,14:55,15:02,14:17,13:03,11:43,10:24,9:27
3,9:21,10:12,11:23,12:47,14:02,14:56,15:01,14:15,13:00,11:40,10:21,9:26
4,9:22,10:14,11:25,12:49,14:04,14:57,15:00,14:12,12:57,11:38,10:19,9:25
5,9:23,10:17,11:28,12:52,14:07,14:58,15:00,14:10,12:55,11:35,10:17,9:24
6,9:24,10:19,11:31,12:55,14:09,14:59,14:59,14:08,12:52,11:32,10:14,9:23
7,9:25,10:21,11:33,12:57,14:11,15:00,14:58,14:06,12:49,11:30,10:12,9:22
8,9:26,10:24,11:36,13:00,14:13,15:01,14:57,14:04,12:47,11:27,10:10,9:21
9,9:27,10:26,11:39,13:03,14:15,15:02,14:56,14:01,12:44,11:24,10:08,9:20
10,9:28,10:29,11:42,13:05,14:17,15:02,14:55,13:59,12:42,11:22,10:05,9:19
11,9:30,10:31,11:44,13:08,14:19,15:03,14:53,13:57,12:39,11:19,10:03,9:19
12,9:31,10:33,11:47,13:10,14:21,15:03,14:52,13:55,12:36,11:16,10:01,9:18
13,9:32,10:36,11:50,13:13,14:23,15:04,14:51,13:52,12:34,11:14,9:59,9:17
14,9:34,10:38,11:52,13:16,14:25,15:04,14:50,13:50,12:31,11:11,9:57,9:17
15,9:35,10:41,11:55,13:18,14:27,15:05,14:48,13:48,12:28,11:08,9:55,9:17
16,9:37,10:43,11:58,13:21,14:29,15:05,14:47,13:45,12:26,11:06,9:53,9:16
17,9:39,10:46,12:01,13:23,14:31,15:05,14:45,13:43,12:23,11:03,9:51,9:16
18,9:40,10:49,12:03,13:26,14:33,15:06,14:44,13:40,12:20,11:01,9:49,9:16
19,9:42,10:51,12:06,13:28,14:35,15:06,14:42,13:38,12:18,10:58,9:47,9:15
20,9:44,10:54,12:09,13:31,14:37,15:06,14:41,13:36,12:15,10:56,9:46,9:15
21,9:45,10:56,12:11,13:33,14:38,15:06,14:39,13:33,12:12,10:53,9:44,9:15
22,9:47,10:59,12:14,13:36,14:40,15:06,14:37,13:31,12:10,10:51,9:42,9:15
23,9:49,11:01,12:17,13:38,14:41,15:06,14:36,13:28,12:07,10:48,9:40,9:15
24,9:51,11:04,12:20,13:41,14:43,15:05,14:34,13:26,12:04,10:45,9:39,9:15
25,9:53,11:07,12:22,13:43,14:45,15:05,14:32,13:23,12:02,10:43,9:37,9:16
26,9:55,11:09,12:25,13:46,14:46,15:05,14:30,13:21,11:59,10:40,9:36,9:16
27,9:57,11:12,12:28,13:48,14:48,15:05,14:28,13:18,11:56,10:38,9:34,9:16
28,9:59,11:15,12:30,13:51,14:49,15:04,14:27,13:15,11:54,10:36,9:33,9:17
29,10:01,,12:33,13:53,14:50,15:04,14:25,13:13,11:51,10:33,9:31,9:17
30,10:03,,12:36,13:55,14:52,15:03,14:23,13:10,11:48,10:31,9:30,9:18
31,10:06,,12:38,,14:53,,14:21,13:08,,10:28,,9:18